team,total_matches,total_wins,win_rate,recent_win_rate,toss_win_rate,toss_match_win_rate,finals_won
Gujarat Titans,60,37,0.617,0.568,0.483,0.317,0
Chennai Super Kings,250,142,0.568,0.488,0.504,0.312,0
Mumbai Indians,273,151,0.553,0.478,0.542,0.3,0
Lucknow Super Giants,57,30,0.526,0.5,0.421,0.228,0
Kolkata Knight Riders,259,135,0.521,0.55,0.49,0.274,0
Royal Challengers Bangalore,264,132,0.5,0.568,0.473,0.25,0
Rajasthan Royals,229,114,0.498,0.476,0.537,0.266,0
Punjab Kings,258,119,0.461,0.477,0.457,0.202,0
Sunrisers Hyderabad,266,122,0.459,0.442,0.511,0.226,0
Delhi Capitals,258,118,0.457,0.45,0.523,0.248,0
